,cell_line,modification,LINE,LTR,SINE,DNA,Retroposon,RC
Caco-2_H3K4me1,Caco-2,H3K4me1,0.057694578611323453,-0.006932376770662059,0.002557008750152662,0.020821510435144873,-0.07921292891182433,0.009295670653315956
Caco-2_H3K9me3,Caco-2,H3K9me3,-0.16257370970051196,-0.14847278595539587,-0.07710142820764333,-0.029038354914798115,-0.35557471638939137,-0.09666518952303403
SJCRH30_H3K4me1,SJCRH30,H3K4me1,0.05244620585411703,0.03074131120309785,0.03906230695845704,0.02281893758864964,0.16666930164787744,-0.016612624928683553
SJCRH30_H3K9me3,SJCRH30,H3K9me3,-0.1695547672920767,-0.0740153926387727,0.035633728776971366,-0.04600662456509634,-0.2755617785604824,0.006692800402241123
SJCRH30_H3K36me3,SJCRH30,H3K36me3,0.046009834009331875,-0.00395230723807156,-0.0020950500759362523,-0.042771600416895275,0.061384055576259915,-0.009494714706390819
SJCRH30_H3K27me3,SJCRH30,H3K27me3,0.00881882596183385,0.017295678399766718,-0.003724477423611837,0.03144786904919051,0.1363010763015266,-0.027597010180969515
SJCRH30_H3K4me3,SJCRH30,H3K4me3,-0.04108400267580108,0.003112569942268865,0.02370486730021588,-0.004673604669092668,0.07721628994206925,-0.018415217821663988
SJCRH30_H3K27ac,SJCRH30,H3K27ac,0.0011389957259135917,0.00647875196043972,0.011590814834982146,0.013866396013506954,0.06816603401710837,0.014067919927422227
BE2C_H3K4me1,BE2C,H3K4me1,0.06678744357449935,-0.000901136386495357,0.05555287433438152,0.015931086532207626,0.10607969326785882,-0.05268464439381455
BE2C_H3K9me3,BE2C,H3K9me3,-0.1338154830505659,-0.08164436401105661,-0.021682888541386558,-0.01762276434186656,-0.22302600703119216,0.0147420889119014
BE2C_H3K36me3,BE2C,H3K36me3,0.05613123068094307,-0.017600295580887094,-0.0027674544529970356,-0.031139297427406728,0.043249689540362096,-0.0024421226000754023
BE2C_H3K27me3,BE2C,H3K27me3,0.0019650741779188583,0.00457108886293962,-0.010422103410943137,0.01704388168247575,0.024879201209379472,-0.12312849264982047
SJSA1_H3K9me3,SJSA1,H3K9me3,-0.16529998548999497,-0.08442750458102943,-0.017576514114826785,-0.020278218952459924,-0.1566714414942822,0.1011904265779995
SJSA1_H3K36me3,SJSA1,H3K36me3,0.021600840698433144,-0.02125141232790077,-0.020600693302596267,-0.035929965680580954,-0.03128297616940494,0.21442503599888982
SJSA1_H3K27me3,SJSA1,H3K27me3,-0.03189492386622292,0.03898274745783445,0.019342610964173904,0.01362105772994228,-0.01876993376122006,0.0374602724764527
SJSA1_H3K4me3,SJSA1,H3K4me3,-0.025018541678104356,-0.025447209639114114,-0.02889083417931665,0.0029113629227724897,-0.12983423771319752,0.15573546976366925
SJSA1_H3K27ac,SJSA1,H3K27ac,0.007722058969457938,0.016084945395112783,0.013985847696785141,-0.003194741391907239,0.0314072516545925,0.2134313406633005
HAP-1_H3K4me1,HAP-1,H3K4me1,0.06410646521592056,-0.01376490458690597,0.013163548277134247,0.004927436668666872,-0.01605555497513896,0.01349959489188776
HAP-1_H3K9me3,HAP-1,H3K9me3,-0.13851833266888447,-0.12958999622712702,-0.08213733925311782,-0.0161224597990993,-0.32637121942347647,-0.020224035317015034
HAP-1_H3K36me3,HAP-1,H3K36me3,0.030376503743310947,-0.0340305331482566,-0.02674121204644089,-0.03997775715345389,-0.07524951377439064,0.06354831659795715
HAP-1_H3K27me3,HAP-1,H3K27me3,-0.015070066585022288,0.03303267086451575,-0.0212580442096475,0.024127716737560825,0.012836078495914451,0.05573714670926109
HAP-1_H3K4me3,HAP-1,H3K4me3,0.018266079715282126,-0.03439421976376725,-0.06341502684739973,0.011954249111371313,-0.05892822798303866,0.007781586697743351
HAP-1_H3K27ac,HAP-1,H3K27ac,0.09658955921210904,-0.018722743416878497,-0.03273536258719922,-0.0019405016130495075,0.004066907102630282,-0.06984531010074736
HL-60_H3K27ac,HL-60,H3K27ac,0.031948416345925004,0.014441445654253959,0.025143067277013296,-0.00740613521201042,0.1396330760863443,0.06286367703590881
MG63_H3K9me3,MG63,H3K9me3,-0.176327544611212,-0.1172751833397859,-0.021655514341977444,-0.04342972804909288,-0.12663500381131293,-0.09003627422189821
MG63_H3K36me3,MG63,H3K36me3,0.05039242699941389,-0.03470659665669412,-0.012366372347579944,-0.03780081919378039,0.03959933004992809,0.012008448603916528
MG63_H3K27me3,MG63,H3K27me3,-0.038323179196197696,0.01230873091938246,0.005847968906867661,0.020161729473390524,-0.055432804697389204,-0.054773276838871565
MG63_H3K4me3,MG63,H3K4me3,0.004631676575259805,-0.0079397026307199,0.0018949489020197623,-0.008649860943771136,-0.011730353206485218,-0.09674504199382458
VCaP_CTCF,VCaP,CTCF,0.03064437710365046,-0.017491786825115593,-0.05387832458496037,0.025655891286785398,-0.10439696540990921,0.09800223370591436
VCaP_H3K27ac,VCaP,H3K27ac,0.13546908521346132,-0.010070998705677155,-0.05028469473201232,0.039661591610693304,-0.05482417627505502,0.01276040779795579
C4-2B_CTCF,C4-2B,CTCF,0.06583393053569454,0.07415293857364286,0.2871561589993961,-0.004359851467921983,0.3161665093424725,0.014568301603957827
C4-2B_H3K27ac,C4-2B,H3K27ac,0.24571290247310212,-0.057766103769344275,0.0888316488386579,0.059798678751345,0.08548179782267329,-0.09987593388159505
RWPE2_CTCF,RWPE2,CTCF,0.01728069267197386,-0.010698245432042763,-0.11073952611580472,-0.0022652516516908495,-0.10603968495843626,0.1405738897599398
RWPE2_H3K36me3,RWPE2,H3K36me3,0.053704811803195446,0.003384718514639243,-0.013135091483000474,-0.04940820231525285,0.1158970182358784,0.13124342836641006
RWPE2_H3K27ac,RWPE2,H3K27ac,0.07888693480146447,-0.014338123830508545,-0.08832302184252928,-0.0037053762251266957,-0.05174834199153344,0.10023626420080935
22Rv1_CTCF,22Rv1,CTCF,0.05816307691625583,-0.03115097154627486,-0.07076396389598226,0.024538486740067995,-0.21306952804186347,-0.07401191080646811
22Rv1_H3K27ac,22Rv1,H3K27ac,0.09145740243120576,-0.02446218055702433,-0.04487474274180629,0.011900988468880751,-0.13350699028035432,-0.05457490049797771
RWPE1_CTCF,RWPE1,CTCF,0.0766539216928807,0.05202493002243638,-0.040091410974650424,-0.002947164249472441,0.27778343069087996,0.05988154082869861
RWPE1_H3K27ac,RWPE1,H3K27ac,0.22294565286282655,-0.04119068582274011,-0.3021697795107891,0.02559306933373827,-0.1833765949388161,-0.09402546893353618
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
