,cell_line,modification,LINE,LTR,SINE,DNA,Retroposon,RC
Caco-2_H3K4me1,Caco-2,H3K4me1,0.04304355377777356,-0.010053544578881324,0.04541785769961004,0.01854343427977822,-0.08232561484633931,-0.024023352925647442
Caco-2_H3K9me3,Caco-2,H3K9me3,-0.16756856974853915,-0.1590209389769639,-0.11909549881630818,-0.026302864621817724,-0.4387695221878953,0.04699787862585686
SJCRH30_H3K4me1,SJCRH30,H3K4me1,0.04655995059070285,0.028617531700925354,0.08563566628537095,0.021257800243947352,0.23651758499793588,-0.03567983298884138
SJCRH30_H3K9me3,SJCRH30,H3K9me3,-0.11874212128467561,-0.08638366689599357,0.07930723555257894,-0.04331203527842226,-0.32595836236550724,-0.030649321830480615
SJCRH30_H3K36me3,SJCRH30,H3K36me3,-0.021790004820973773,-0.024870586255400517,-0.05742030471718813,-0.042470349900382794,0.07076328394419219,0.013019175468975956
SJCRH30_H3K27me3,SJCRH30,H3K27me3,0.036460531513738244,0.014109783334733214,0.004027767302806858,0.023474822497189407,0.2090934827150165,-0.0661919485839067
SJCRH30_H3K4me3,SJCRH30,H3K4me3,-0.011755475907221032,-0.008425994244655344,0.04762203306508484,-0.010177449533594174,0.07215790549156402,-0.053218250598638966
SJCRH30_H3K27ac,SJCRH30,H3K27ac,0.011320296404769366,-0.001005273855614488,0.019545233637315883,0.013687295859025277,0.0915613887834834,-0.03821677054266371
BE2C_H3K4me1,BE2C,H3K4me1,0.08102499233203923,0.007012056637001845,0.10739585044399003,0.019142406752848156,0.15527636347524384,0.009726933805788502
BE2C_H3K9me3,BE2C,H3K9me3,-0.0856949889159919,-0.08985845657317117,-0.06324379024916527,-0.0155612018590753,-0.28078562910976373,0.02004450432317364
BE2C_H3K36me3,BE2C,H3K36me3,0.012483797445395189,-0.031707860466489324,-0.0622544267662871,-0.030252358464353007,0.02068850625179984,0.018255730482394494
BE2C_H3K27me3,BE2C,H3K27me3,0.004458872987877597,0.005953119247292943,-0.008494500037415994,0.021609491566708466,0.046783566494259084,-0.0038419905942313603
SJSA1_H3K9me3,SJSA1,H3K9me3,-0.06983352765561796,-0.09078101764203747,0.002493216565270268,-0.011445463177315453,-0.2128806543574562,0.03336483151491065
SJSA1_H3K36me3,SJSA1,H3K36me3,0.02522240015200997,-0.03784256560969992,-0.05190000831838857,-0.037768095859705086,-0.09449529108101022,0.003427354795501881
